TradeDateCashBalance,SettleDateCashBalance,LiquidatingEquity,HouseRequirement
-269479.78,-285384.33,385153.97,156946.07
1041333.12,1042294.29,-486485.53,75026.44
276485.16,1076801.38,-276485.16,25000.0
-79638487.89999999,3069444.670000002,2145884.94,0.0
2113817.33,1351067.72,2610.77,364658.11
-11333.56,-11333.56,11416.04,4.12
293780.88,1440084.47,-244586.99,937140.57
0.0,0.0,0.0,0.0
2841122.1,2170505.96,-12923.74,516872.7
86105.42,91888.09,-86105.42,25000.0
-4069.5,-4069.5,4138.35,0.0
-525590.27,-525590.27,3515520.27,149496.5
1955469.09,516299.8,-248343.07,388796.03
-70479.9,-1196444.57,0.0,0.0
-4241166.96,1271818.11,130775.93,599870.11
4082144.79,4234427.45,-27490.71,405465.43
